username,date,score,version,text
"ZSwannn Nekopoi","2023-05-03T11:43:35.591Z",4,"6.10.0","Mohon maaf kepada pihak developer. Video download terkadang sering terputus bahkan hanya loading. Dan beberapa pilihan jawaban dan penjelasan ada yang berbeda.Contohnya dipilihan jawaban, kalimatnya sesuai ejaan,namun dipenjelasan kalimatnya tidak sesuai karena berbeda.Mohon kedepannya diperbaiki"
"Khabib Muhammad Lutfi","2023-04-26T06:47:33.705Z",2,"6.9.1","UI-nya tidak menarik dan tidak efisien"
"Questo molto classico","2023-04-23T15:27:45.101Z",5,null,"Yh ok meskipun ak tdk menang olim"
"Raffi Yusuf Pua Manita","2023-04-17T12:17:01.389Z",4,"6.9.1","Kak apakah ini berbayar"
"oktaviana asri","2023-04-15T13:13:09.635Z",1,"6.9.1","Gabisa lihat gambar caranya"
"Agyl Wendi Pratama","2023-04-14T07:16:12.443Z",2,"6.9.1","Tampilan sangat kurang menarik, fitur fitur menyenangkan sangatlah kurang"
"Rexy Agustinus Darenoh","2023-04-11T09:13:58.180Z",5,"6.9.1","Aplikasinya membantu banget buat belajar Persiapan UTBK"
"Kamsa Hamnida","2023-04-11T09:12:37.681Z",5,"6.9.1","Alhamdulillah lulus snbp"
"Mama Lily","2023-04-06T08:59:48.620Z",5,null,"Sangat membantu anak saya belajar. Terima kasih."
"zepi ariyanto persahabatan","2023-04-06T02:11:05.339Z",5,"6.9.1","Quipper aplikasi belajar yang membantu dalam mengejar materi yang terlewat maupun memahami materi yang akan dipelajari, dikarenakan fleksibel dan disesuaikan dengan waktu belajar kita yang cukup padat, terimakasih"
"Desi Rahmawati","2023-04-06T02:02:52.322Z",5,null,"Quipper Aplikasi yang sangat membantu apalagi untuk persiapan UTBK. Paket soal-soal nya sangat lengkap ada catatan nya juga, dan videonya mudah untuk di mengerti."
"Clara olga setia dini","2023-04-06T01:34:26.951Z",5,"6.7.1","Paling bagus"
"Heyda Putri","2023-04-05T13:50:14.170Z",5,"6.9.1","quipper mambantu bnget aku dlm belajarrr materinya juga super lengkap, mudah dipahami berani kasih jamin aku lolos SBMPTN dan alhasil aku lolos PTN.. buat kalian yg ngerasa ga puas sma quipper kayanya salah kalian deh bukan quippernya krn ini the best seh emang love bnget 🥰🥰"
"Renaldo Afriansyah","2023-04-05T12:38:31.728Z",5,null,"Belajarnya menarik dan juga mudah dimengerti, juga terdapat tes minat dan bakat yang sangat membantu"
"Indah Rahmawati","2023-04-05T08:30:08.200Z",5,null,"Terima kasih Quipper, sudah menjadi solusi belajar yang menarik dan seru serta sangat membantu dalam proses pemahaman materi menuju tes ke perguruan tinggi negeri. Media belajar yang sangat fleksibel baik dalam penggunaannya. Sangat membantu👍🙏"
"Andrabhita Vanya Cesilanti","2023-04-05T08:29:42.130Z",5,"6.9.1","Terima kasih Quipper sudah membantu saya dalam belajar untuk persiapan UTBK dan persiapan masuk perguruan tinggi."
"Alfina Damayanti","2023-04-05T08:22:56.272Z",5,"6.9.1","Sangat membantu dalam belajar, dan persiapan UTBK semoga saya lulus UTBK tahun ini Aamiin"
"Dimas Romadhon","2023-04-05T08:20:36.312Z",5,null,"Materinya Lengkap dan Banyak TryOut UTBK"
"Dzulfahmi Akbar","2023-04-05T08:19:05.402Z",5,null,"Qwipper sangat membantu aku untuk eksplor lebih tentang pelajaran dan kesiapan ujian"
"Nur_ Azizaahh","2023-04-05T00:53:12.790Z",1,null,"PENIPU, GA PERNAH DI BIMBING, UDAH PROTES MALAH DI BLOK, MANA AKUNNYA LOG OUT TRUS LAGI, UDAH LANGGANAN SETAHUN JUGA CIIH TAU APLIKASI INI KARENA MEREKA DATANG KE SEKOLAHH!!!!!JANGAN TERTIPU!!!"
"Winnie Nathasha","2023-04-04T14:20:07.881Z",4,"6.9.1","Out"
"Raka Hasyr","2023-04-04T07:26:37.414Z",1,null,"Ngelag terus padajal Internet yang lain bisa"
"Nadine Marchia","2023-04-02T14:23:59.700Z",5,"6.8.1","Haloo, aplikasinya sungguh membantu,terkadang kalau disekolah sulit ngerti sama materi yg guru terangin,jadi pas dirumah ngulang lagi pakai aplikasi ini biar tambah ngerti 😅😅"
"Andita Salsabilla","2023-03-31T20:48:36.108Z",4,"6.8.1","pembahasan soal lengkap, tetapi menurut saya tampilannya aplikasi kurang menarik dan font-nya terkadang bikin pusing. Saran saya untuk tes penilaian UTBK, setiap subtest dipisah dan diberi waktu."
"Yusuf Lana","2023-03-31T13:10:11.416Z",3,null,"Penjelasannya kok kepotong ya??😔"
"Nanda R Anthoni","2023-03-31T10:36:06.158Z",3,null,"Kenapa waktu aku ganti akun, akun yang lain gak ada fitur coin dan XP padahal udah ku-update ke versi 6.8.1 tapi kok gak ada 😭😭😭"
"JAP13Y","2023-03-31T00:04:43.625Z",1,"6.8.1","saya kecewa sudah langganan, yang ada sudah tidak terpakai. saya juga terlalu sibuk, banyak kegiatan. saya langganan 1 tahun habisnya juli ini kok malah ter log out ditambah pasword nama salah, tolong refund jika boleh. trimakasih"
"Freya Bulan Aurelia","2023-03-30T04:24:00.972Z",2,null,"saya menggunakan app quipper ini untuk mengerjakan soal matematika dari guru saya, saya sudah menghapus beberapa app dari hp saya untuk update tapi karena masih tidak bisa saya hapus quipper untuk di download ulang, dan ternyata masih tidak bisa juga. app nya terlalu membutuhkan memory yang besar. saya harap segera diperbaiki"
"Vonie Caroline","2023-03-28T05:51:12.625Z",3,"6.8.1","Loadingnya lama, pas itu gak bisa masuk akun sekolah -_-"
"Hilda Shabrinaa","2023-03-27T03:50:42.473Z",1,"6.8.1","Tau aplikasi ini gara2 masuk ke sklh ku. Aku temen2 ku banyak yang kepincut untuk ikut quipper. Dan setelahnya aku pilih paket yang 2thn 900.000 aku sangat menyesal karena g prnh aku pake dan cara2 nya susah. Bisa g sih uang nya di balikin. Sumpah demi Allah sama sekali g prnh ku pake. Setiap hari menyesal dan mau nangis karena uang 900.000 hilang begitu saja karena apk ini. Plis balikin uang ku😭"
"Alda Dwilestari","2023-03-26T13:08:47.180Z",5,null,"Tolong saya gak bisa install"
"Aninda Bhekti Puspitamukti","2023-03-26T12:30:36.261Z",4,"6.7.1","Min mau tanya. Quipper sering lakukan update data kan, knp setelah aku update tuh nginstall nya lama bgt, padahal ruang hp cukup, internet juga lancar"
"MFA_05","2023-03-23T05:30:33.504Z",1,"6.8.1","Pas putar videonya lag dan buffering mulu, padahal jaringan wifi bagus pas buka video di yt sama aplikasi belajar sebelah lancar2 ajaa😭"
"Anca Anca","2023-03-21T03:52:03.715Z",5,null,"bgus pko nha#"
"Angga Gaming","2023-03-20T13:46:32.100Z",1,"6.0.36","Apk ini selalu nge bug Terlalu banyak update,dan makan banyak penyimpanan"
"Olivia Lumbantoruan","2023-03-19T13:39:23.604Z",4,"6.7.1","Update mulu gmn sih"
"Imelda Dwi Tama","2023-03-19T11:56:22.214Z",3,null,"Kenapa ya quiper saya harus di perbarui terus, tapi setelah diperbarui juga tetap g bisa dibuka aplikasinya"
"Thalita Hanum","2023-03-16T15:20:05.561Z",1,"6.8.1","Tes bakat minat tersesat antero dunia😭😭😭😭 kalo kata gue mah diem ae lah kalo gak tau🙄"
"salma chairunnisa","2023-03-15T01:36:33.320Z",2,"6.8.1","di hp ku kok materinya premium semua ya, tp di hp temenku engga, ini maksudnya gimana"
"HIDASU","2023-03-10T15:43:52.204Z",1,null,"Lagi ngerjain tugas malah muncul iklan..."
