username,date,score,version,text
"IQBAL AL HAIDAR","2023-05-03T22:21:50.792Z",5,"6.57.0","Bagus Materi mudah difahami"
"Arin Cantik","2023-05-03T13:15:44.490Z",5,"6.57.0","Aku senang dengan pertanyaan"
"Andre Black","2023-05-03T09:49:33.754Z",5,null,"Bagus"
"aningk","2023-05-02T14:47:35.627Z",1,null,"min, besok-besok kalo telepon inget kondisi ya. kalo emang lagi musim pts sebisanya telpon nya pas sorean aja jangan pagi-pagi gitu, saya kemaren pas istirahat pts tb tb di telepon sampai jam istirahat selesai, padahal saya niatnya pas istirahat mau belajar lagi biar lebih mantep malah jd kurang mantep pas ngerjain soal pts nya :(("
"Karolus Adrian","2023-05-02T14:42:21.620Z",5,"6.57.0","Aplikasi ini hebat banget saya bisa mengerjakan semua soal dari tema 1 sampai tema 8 tapi saya mengerjakan soal dari tema 8 dulu 😅 tapi kadang kadang masi ada masalah sedikit yaitu 1. Tulisan soal nya kadang ada yang kedobelan 2. Soal tidak sesuai dengan topik itu aja masalah nya mohon di perbaiki lebih bagus lagi ya 😊"
"Hilda Ratna Ningtyas","2023-05-02T14:03:21.992Z",1,null,"Tidak memuaskann"
"Syifa Malika","2023-05-02T13:20:42.757Z",1,"6.57.0","Beda sama yang dulu, sekarang apa apa bayar, apa lagi harganya beda sama yang di tunjukkan, saat klik beli paket, beda harga beda paket semua"
"Zahratul laeli","2023-05-02T12:36:48.391Z",5,"6.54.0","recomended bangetttt"
"Solehabdul latif","2023-05-02T11:45:48.280Z",5,null,"okeh terimakasih ruang guru saya jadi tertolong semuga sukses salalu,,, tapi kalo bisa adain paket gratisan"
"Alifa Febriana","2023-05-02T11:29:13.330Z",3,"6.57.0","Kenapa pas aku mau bayar langganan pakai gopay kok malah loading lama?"
"AleToshi Simatupang","2023-05-02T11:11:42.414Z",5,null,"Seru belajar, tapi bisagak tambah Minigames nya"
"Akun faraz","2023-05-02T08:58:14.127Z",5,"6.57.0","Waw terima kasih ruang guru karna kamu saya jadi lebih paham dalam ilmu matematika gooddd"
"Andi Yuliana","2023-05-02T00:25:25.240Z",5,"6.57.0","Sangat membantu anak dalam belajar 👍👍"
"Jesicca Elizabeth","2023-05-01T23:18:20.301Z",5,"6.57.0","Bagus banget bikin lebih paham"
"Ramdan dan","2023-05-01T22:01:29.402Z",5,"6.57.0","Sangat bermanpat mudahan kami bisa mempelajarinya dengan baik"
"Fadil Nawawi","2023-05-01T15:05:32.988Z",5,"6.56.0","Mudah di pahami"
